Address,Price,Info,URL
"895 Golden Cane Dr, Weston, FL 33327","$449,900","3 bds,2 ba,1,552 sqft- House for sale",https://www.zillow.com/homedetails/895-Golden-Cane-Dr-Weston-FL-33327/58443152_zpid/
"964 Tulip Cir, Weston, FL 33327","$678,000","5 bds,4 ba,-- sqft- House for sale",https://www.zillow.com/homedetails/964-Tulip-Cir-Weston-FL-33327/54597112_zpid/
"4771 Akai Dr, Fort Lauderdale, FL 33332","$9,995,000","6 bds,9 ba,11,316 sqft- House for sale",https://www.zillow.com/homedetails/4771-Akai-Dr-Fort-Lauderdale-FL-33332/2077781914_zpid/
"1640 Island Way, Weston, FL 33326","$850,000","5 bds,5 ba,3,233 sqft- House for sale",https://www.zillow.com/homedetails/1640-Island-Way-Weston-FL-33326/43145484_zpid/
"340 Racquet Club Rd Apt 204, Weston, FL 33326","$224,900","2 bds,2 ba,1,220 sqft- Condo for sale",https://www.zillow.com/homedetails/340-Racquet-Club-Rd-APT-204-Weston-FL-33326/43135119_zpid/
"1424 Majesty Ter, Weston, FL 33327","$420,000","3 bds,2 ba,1,533 sqft- House for sale",https://www.zillow.com/homedetails/1424-Majesty-Ter-Weston-FL-33327/54595693_zpid/
"3067 Lakewood Cir, Weston, FL 33332","$715,000","5 bds,3 ba,2,555 sqft- House for sale",https://www.zillow.com/homedetails/3067-Lakewood-Cir-Weston-FL-33332/43128745_zpid/
"860 Marina Dr, Weston, FL 33327","$1,229,000","5 bds,4 ba,3,979 sqft- House for sale",https://www.zillow.com/homedetails/860-Marina-Dr-Weston-FL-33327/54596483_zpid/
"16287 Laurel Dr #1, Fort Lauderdale, FL 33326","$315,000","2 bds,2 ba,1,580 sqft- House for sale",https://www.zillow.com/homedetails/16287-Laurel-Dr-1-Fort-Lauderdale-FL-33326/2076861383_zpid/
"310 Racquet Club Rd Apt 203, Weston, FL 33326","$208,000","2 bds,2 ba,1,320 sqft- Condo for sale",https://www.zillow.com/homedetails/310-Racquet-Club-Rd-APT-203-Weston-FL-33326/43135092_zpid/
"303 Racquet Club Rd Apt 105, Weston, FL 33326","$219,000","2 bds,2 ba,1,106 sqft- Condo for sale",https://www.zillow.com/homedetails/303-Racquet-Club-Rd-APT-105-Weston-FL-33326/43134399_zpid/
"1200 Peregrine Way, Weston, FL 33327","$710,000","4 bds,4 ba,3,075 sqft- House for sale",https://www.zillow.com/homedetails/1200-Peregrine-Way-Weston-FL-33327/54596798_zpid/
"19238 Crystal St, Weston, FL 33332","$450,000","4 bds,2 ba,2,172 sqft- House for sale",https://www.zillow.com/homedetails/19238-Crystal-St-Weston-FL-33332/67410207_zpid/
"2764 Oakbrook Dr, Weston, FL 33332","$645,000","4 bds,3 ba,-- sqft- House for sale",https://www.zillow.com/homedetails/2764-Oakbrook-Dr-Weston-FL-33332/43129017_zpid/
"3259 Somerset, Weston, FL 33332","$990,000","5 bds,5 ba,3,491 sqft- House for sale",https://www.zillow.com/homedetails/3259-Somerset-Weston-FL-33332/43128665_zpid/
"51 Gables Blvd, Weston, FL 33326","$509,900","4 bds,3 ba,2,562 sqft- House for sale",https://www.zillow.com/homedetails/51-Gables-Blvd-Weston-FL-33326/43134312_zpid/
"1372 Cottonwood Cir #1372, Fort Lauderdale, FL 33326","$360,000","3 bds,2 ba,1,638 sqft- Townhouse for sale",https://www.zillow.com/homedetails/1372-Cottonwood-Cir-1372-Fort-Lauderdale-FL-33326/2076321295_zpid/
"1635 Zenith Way, Weston, FL 33327","$400,000","3 bds,2 ba,1,600 sqft- House for sale",https://www.zillow.com/homedetails/1635-Zenith-Way-Weston-FL-33327/54595481_zpid/
"2793 Lake Ridge Ln, Weston, FL 33332","$2,195,000","6 bds,8 ba,8,500 sqft- New construction",https://www.zillow.com/homedetails/2793-Lake-Ridge-Ln-Weston-FL-33332/2127413407_zpid/
